"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"JSWDULUX","EQ","21-May-2026","2,928.20","2,941.90","2,954.70","2,876.00","2,880.00","2,902.30","2,900.45","67,219","19,49,65,117.10","9,532"
"JSWDULUX","EQ","20-May-2026","2,929.10","2,902.00","2,940.00","2,900.00","2,925.00","2,928.20","2,922.28","3,737","1,09,20,559.20","1,381"
"JSWDULUX","EQ","19-May-2026","2,928.70","2,921.20","2,943.60","2,882.60","2,924.10","2,929.10","2,918.99","7,223","2,10,83,838.30","2,042"
"JSWDULUX","EQ","18-May-2026","2,936.80","2,936.80","2,936.80","2,857.00","2,935.60","2,928.70","2,898.39","11,509","3,33,57,550.40","5,283"
"JSWDULUX","EQ","15-May-2026","2,923.80","2,934.00","2,947.90","2,890.00","2,925.00","2,936.80","2,924.52","29,625","8,66,38,779.00","6,880"
"JSWDULUX","EQ","14-May-2026","2,983.00","2,990.00","3,032.10","2,901.00","2,932.90","2,923.80","2,931.95","17,156","5,03,00,470.00","5,613"
"JSWDULUX","EQ","13-May-2026","2,922.80","2,949.00","3,034.00","2,909.00","2,991.00","2,983.00","2,981.00","27,934","8,32,71,147.20","6,947"
"JSWDULUX","EQ","12-May-2026","3,045.20","3,045.20","3,070.00","2,901.00","2,931.00","2,922.80","2,946.81","16,321","4,80,94,954.50","6,218"
"JSWDULUX","EQ","11-May-2026","2,949.40","2,960.00","3,050.00","2,875.00","3,003.00","3,045.20","3,005.28","48,880","14,68,98,200.40","10,302"
"JSWDULUX","EQ","08-May-2026","2,966.40","2,953.00","2,983.80","2,935.00","2,950.00","2,949.40","2,955.21","28,718","8,48,67,782.40","5,767"
"JSWDULUX","EQ","07-May-2026","2,996.40","2,998.00","3,015.60","2,952.60","2,964.50","2,966.40","2,969.51","11,950","3,54,85,679.60","5,237"
"JSWDULUX","EQ","06-May-2026","2,976.70","2,976.70","3,011.30","2,922.20","3,000.00","2,996.40","2,956.72","13,265","3,92,20,867.80","5,116"
"JSWDULUX","EQ","05-May-2026","2,946.80","2,972.50","3,033.40","2,942.10","2,979.00","2,976.70","2,979.60","32,554","9,69,97,785.00","8,015"
"JSWDULUX","EQ","04-May-2026","2,950.70","2,950.70","2,970.60","2,925.00","2,948.00","2,946.80","2,950.73","5,290","1,56,09,354.40","2,002"
"JSWDULUX","EQ","30-Apr-2026","2,977.20","2,990.00","2,997.20","2,931.50","2,952.90","2,950.70","2,950.46","12,946","3,81,96,606.50","2,957"
"JSWDULUX","EQ","29-Apr-2026","2,977.40","2,981.10","3,001.50","2,953.90","2,961.00","2,977.20","2,988.57","9,500","2,83,91,388.40","2,770"
"JSWDULUX","EQ","28-Apr-2026","2,999.10","3,000.00","3,024.70","2,951.00","2,975.00","2,977.40","2,982.35","7,193","2,14,52,028.90","2,867"
"JSWDULUX","EQ","27-Apr-2026","2,947.80","2,960.00","3,049.00","2,947.80","3,000.00","2,999.10","3,010.04","17,324","5,21,45,889.00","3,396"
"JSWDULUX","EQ","24-Apr-2026","2,946.90","2,947.00","2,985.00","2,920.30","2,953.00","2,947.80","2,951.34","20,698","6,10,86,748.50","2,667"
"JSWDULUX","EQ","23-Apr-2026","2,949.10","2,949.90","2,965.00","2,922.10","2,944.10","2,946.90","2,942.84","9,056","2,66,50,381.10","1,892"
"JSWDULUX","EQ","22-Apr-2026","2,914.70","2,927.00","2,956.20","2,880.10","2,954.00","2,949.10","2,913.09","30,169","8,78,85,045.00","5,937"
"JSWDULUX","EQ","21-Apr-2026","2,895.60","2,895.70","2,930.00","2,860.00","2,927.00","2,914.70","2,891.17","26,268","7,59,45,321.80","3,095"
"JSWDULUX","EQ","20-Apr-2026","2,925.30","2,917.00","2,935.00","2,878.00","2,902.00","2,895.60","2,895.68","9,100","2,63,50,686.70","2,060"
"JSWDULUX","EQ","17-Apr-2026","2,958.80","2,985.00","2,985.00","2,911.00","2,915.00","2,925.30","2,937.36","14,941","4,38,87,075.90","3,651"
